,link,id,rating,popularity
172,http://rozetka.com.ua/apple_iphone_5s_16gb_silver/p1106609/#tab=characteristics,172,172,110
173,http://rozetka.com.ua/alcatel_5010d_white/p12235861/#tab=characteristics,173,173,112
174,http://rozetka.com.ua/bravis_a504_trace_white/p13122753/#tab=characteristics,174,174,161
175,http://rozetka.com.ua/apple_iphone_5s_16gb_gold_cpo/p4302954/#tab=characteristics,175,175,262
176,http://rozetka.com.ua/oukitel_c5_pro_sl_eu/p13772978/#tab=characteristics,176,176,162
177,http://rozetka.com.ua/acer_liquid_e380_e3_dualsim_uacrf_silver/p735359/#tab=characteristics,177,177,113
178,http://rozetka.com.ua/leeco_le_2_x620_3_32gb_gold/p12572023/#tab=characteristics,178,178,220
179,http://rozetka.com.ua/ergo_a500_best_ds_dark_grey/p9971637/#tab=characteristics,179,179,114
180,http://rozetka.com.ua/acer_hm_hpueu_002/p10220844/#tab=characteristics,180,180,115
181,http://rozetka.com.ua/tp_link_neffos_c5_dark_grey/p8688779/#tab=characteristics,181,181,116
182,http://rozetka.com.ua/sigma_xtreme_pq23_black_yellow/p4195895/#tab=characteristics,182,182,117
183,http://rozetka.com.ua/apple_iphone_se_16gb_silver/p7761484/#tab=characteristics,183,183,118
184,http://rozetka.com.ua/sigma_x_treme_pq35_black/p13012601/#tab=characteristics,184,184,221
185,http://rozetka.com.ua/fly_fs506_cirrus_3_k/p10091834/#tab=characteristics,185,185,119
186,http://rozetka.com.ua/asus_zenfone_3_ze520kl_white/p12291364/#tab=characteristics,186,186,120
187,http://rozetka.com.ua/xiaomi_mi5_exclusive_wh_not/p9674711/#tab=characteristics,187,187,222
188,http://rozetka.com.ua/coolpad_max_gold/p9868667/#tab=characteristics,188,188,121
189,http://rozetka.com.ua/sony_xperia_x_performance_dual_white/p9304404/#tab=characteristics,189,189,122
190,http://rozetka.com.ua/meizu_m3s_16_gr_eu/p10658309/#tab=characteristics,190,190,223
191,http://rozetka.com.ua/caterpillar_cat_s60/p11034356/#tab=characteristics,191,191,123
192,http://rozetka.com.ua/asus_zenfone_go_zb500kl_red/p12263980/#tab=characteristics,192,192,224
193,http://rozetka.com.ua/goclever_quantum2_500_rugged/p6974518/#tab=characteristics,193,193,124
194,http://rozetka.com.ua/apple_iphone_se_64gb_silver/p8188862/#tab=characteristics,194,194,125
195,http://rozetka.com.ua/prestigio_multiphone_wize_o3_psp3458_duo_black/p9951358/#tab=characteristics,195,195,126
196,http://rozetka.com.ua/huawei_y5_ii_gold/p9659682/#tab=characteristics,196,196,127
197,http://rozetka.com.ua/xiaomi_mi5_32gb_white/p11504091/#tab=characteristics,197,197,225
198,http://rozetka.com.ua/samsung_galaxy_a7_2016_duos_sm_a710_16gb_black/p6732424/#tab=characteristics,198,198,128
199,http://rozetka.com.ua/nous_ns_5004_gold/p12437245/#tab=characteristics,199,199,129
200,http://rozetka.com.ua/nous_ns_5006_gold/p12438358/#tab=characteristics,200,200,130
201,http://rozetka.com.ua/leeco_le_2_pro_x625_4_32gb_rose_gold/p12598301/#tab=characteristics,201,201,226
202,http://rozetka.com.ua/sony_xperia_e5_black/p10020147/#tab=characteristics,202,202,131
203,http://rozetka.com.ua/impression_imsmart_a503_black/p13119491/#tab=characteristics,203,203,163
204,http://rozetka.com.ua/acer_hm_hp7eu_001/p3930505/#tab=characteristics,204,204,132
205,http://rozetka.com.ua/impression_imsmart_a501_black/p7152760/#tab=characteristics,205,205,134
206,http://rozetka.com.ua/oukitel_u7_plus_gd_eu/p12147248/#tab=characteristics,206,206,227
207,http://rozetka.com.ua/sigma_xtreme_pq25_black/p4193200/#tab=characteristics,207,207,135
208,http://rozetka.com.ua/apple_iphone_6s_plus_32gb_space_gray/p12438547/#tab=characteristics,208,208,136
209,http://rozetka.com.ua/assistant_as_5432_agio_gray/p10544944/#tab=characteristics,209,209,228
210,http://rozetka.com.ua/samsung_galaxy_a3_2016_duos_sm_a310_16gb_gold/p6732382/#tab=characteristics,210,210,137
211,http://rozetka.com.ua/nomi_i5010_evo_m_space_grey/p10698104/#tab=characteristics,211,211,138
212,http://rozetka.com.ua/meizu_u20_16_black/p12318693/#tab=characteristics,212,212,229
213,http://rozetka.com.ua/coolpad_modena_2_gold/p11698761/#tab=characteristics,213,213,139
214,http://rozetka.com.ua/nomi_i5011_evo_m1_dark_red/p10688724/#tab=characteristics,214,214,140
215,http://rozetka.com.ua/nomi_i5030_evo_x_white/p10693176/#tab=characteristics,215,215,141
216,http://rozetka.com.ua/philips_s307_dual_sim_black_yellow/p6818663/#tab=characteristics,216,216,142
217,http://rozetka.com.ua/sigma_x_treme_pq16_black/p6942658/#tab=characteristics,217,217,143
218,http://rozetka.com.ua/umi_touch_16gb_gold/p12244597/#tab=characteristics,218,218,230
219,http://rozetka.com.ua/tp_link_neffos_y5l_pearl_white/p10097000/#tab=characteristics,219,219,144
220,http://rozetka.com.ua/xiaomi_redmi_4_prime_332_gld_not/p12643437/#tab=characteristics,220,220,231
221,http://rozetka.com.ua/coolpad_torino_white/p9868590/#tab=characteristics,221,221,145
222,http://rozetka.com.ua/oukitel_k1000/p12146443/#tab=characteristics,222,222,15
223,http://rozetka.com.ua/xiaomi_mi4_2_16gb_white/p9181456/#tab=characteristics,223,223,315
224,http://rozetka.com.ua/meizu_m3s_32_gr_eu/p11311738/#tab=characteristics,224,224,317
225,http://rozetka.com.ua/archos_55_platinum_blue/p8906479/#tab=characteristics,225,225,271
226,http://rozetka.com.ua/doogee_y100_plus_valencia2_wh/p12566808/#tab=characteristics,226,226,232
227,http://rozetka.com.ua/meizu_m3_2_16_wh_not/p9590025/#tab=characteristics,227,227,233
228,http://rozetka.com.ua/doogee_y100x_nova_white/p12557442/#tab=characteristics,228,228,234
229,http://rozetka.com.ua/doogge_x5_black/p7362922/#tab=characteristics,229,229,319
230,http://rozetka.com.ua/microsoft_lumia_650_black/p7242034/#tab=characteristics,230,230,274
231,http://rozetka.com.ua/archos_diamond_s_black/p7783527/#tab=characteristics,231,231,275
232,http://rozetka.com.ua/xiaomi_redmi_3i_pro_se_3_32gb_gray_not/p11887912/#tab=characteristics,232,232,235
233,http://rozetka.com.ua/apple_iphone_7_256gb_gold/p11256508/#tab=characteristics,233,233,146
234,http://rozetka.com.ua/coolpad_porto_s_dark_gray/p8686623/#tab=characteristics,234,234,147
